"key","message","comment","context"
"App Mobile","Aplicación Móvil",,
"Apps permissions","Permisos de las aplicaciones",,
"CRM","CRM",,
"Contacts","Contactos",,
"Customers","Clientes",,
"Expense","Gasto",,
"Expenses","Gastos",,
"Leads","Plomos",,
"Leave","Salir",,
"Leaves","Hojas",,
"Mobile apps","Aplicaciones para móviles",,
"Offline record limit","Límite de registros fuera de línea",,
"Products","Productos",,
"Projects","Proyectos",,
"Quality","Calidad",,
"Sale","Venta",,
"Sales","Ventas",,
"Task","Tarea",,
"Timesheet","Hoja de horas",,
"Timesheets","Hojas horarias",,
